2025-09-15 15:22:26.344 | INFO     | __main__:main:325 - Reading statistics from output/sfes/mnsol/stats/Sage-2.2.1-+-ELF10.csv
2025-09-15 15:22:26.354 | INFO     | __main__:main:325 - Reading statistics from output/sfes/mnsol/stats/Sage-2.2.1-+-AshGC.csv
2025-09-15 15:22:26.358 | INFO     | __main__:main:325 - Reading statistics from output/sfes/mnsol/stats/Sage-2.3.0rc1.csv
2025-09-15 15:22:26.362 | INFO     | __main__:main:325 - Reading statistics from output/sfes/mnsol/stats/v1-k100.csv
2025-09-15 15:22:26.366 | INFO     | __main__:main:325 - Reading statistics from output/sfes/mnsol/stats/v3-k100.csv
2025-09-15 15:22:27.204 | INFO     | __main__:main:369 - Saved scatter plot for group All to images/sfe-scatters/mnsol-close/scatter-All.png
2025-09-15 15:22:27.208 | INFO     | __main__:main:337 - Skipping group 1,2 Diol with 0 entries (< 10)
2025-09-15 15:22:27.552 | INFO     | __main__:main:369 - Saved scatter plot for group Alcohol to images/sfe-scatters/mnsol-close/scatter-Alcohol.png
2025-09-15 15:22:27.874 | INFO     | __main__:main:369 - Saved scatter plot for group Aldehyde to images/sfe-scatters/mnsol-close/scatter-Aldehyde.png
2025-09-15 15:22:28.216 | INFO     | __main__:main:369 - Saved scatter plot for group Alkane to images/sfe-scatters/mnsol-close/scatter-Alkane.png
2025-09-15 15:22:28.217 | INFO     | __main__:main:337 - Skipping group Alkene with 3 entries (< 10)
2025-09-15 15:22:28.536 | INFO     | __main__:main:369 - Saved scatter plot for group Alkyl Bromide to images/sfe-scatters/mnsol-close/scatter-Alkyl Bromide.png
2025-09-15 15:22:28.904 | INFO     | __main__:main:369 - Saved scatter plot for group Alkyl Chloride to images/sfe-scatters/mnsol-close/scatter-Alkyl Chloride.png
2025-09-15 15:22:29.230 | INFO     | __main__:main:369 - Saved scatter plot for group Alkylarylether to images/sfe-scatters/mnsol-close/scatter-Alkylarylether.png
2025-09-15 15:22:29.230 | INFO     | __main__:main:337 - Skipping group Alkylthiol with 3 entries (< 10)
2025-09-15 15:22:29.549 | INFO     | __main__:main:369 - Saved scatter plot for group Amine to images/sfe-scatters/mnsol-close/scatter-Amine.png
2025-09-15 15:22:29.888 | INFO     | __main__:main:369 - Saved scatter plot for group Aromatic to images/sfe-scatters/mnsol-close/scatter-Aromatic.png
2025-09-15 15:22:30.217 | INFO     | __main__:main:369 - Saved scatter plot for group Aryl Bromide to images/sfe-scatters/mnsol-close/scatter-Aryl Bromide.png
2025-09-15 15:22:30.217 | INFO     | __main__:main:337 - Skipping group Aryl Chloride with 9 entries (< 10)
