2025-09-10 11:44:50.592 | INFO     | __main__:main:325 - Reading statistics from output/phys-prop/density-all/stats/Sage-2.0.0.csv
2025-09-10 11:44:50.593 | INFO     | __main__:main:325 - Reading statistics from output/phys-prop/density-all/stats/Sage-2.2.1.csv
2025-09-10 11:44:50.595 | INFO     | __main__:main:325 - Reading statistics from output/phys-prop/density-all/stats/Sage-2.3.0rc1.csv
2025-09-10 11:44:50.596 | INFO     | __main__:main:325 - Reading statistics from output/phys-prop/density-all/stats/v1-k100.csv
2025-09-10 11:44:50.597 | INFO     | __main__:main:325 - Reading statistics from output/phys-prop/density-all/stats/v3-k100.csv
2025-09-10 11:44:51.456 | INFO     | __main__:main:369 - Saved scatter plot for group All to images/phys-prop-scatters/densities-refit/scatter-All.png
2025-09-10 11:44:51.980 | INFO     | __main__:main:369 - Saved scatter plot for group 1,2 Aminoalcohol to images/phys-prop-scatters/densities-refit/scatter-1,2 Aminoalcohol.png
2025-09-10 11:44:52.487 | INFO     | __main__:main:369 - Saved scatter plot for group 1,2 Diol to images/phys-prop-scatters/densities-refit/scatter-1,2 Diol.png
2025-09-10 11:44:52.994 | INFO     | __main__:main:369 - Saved scatter plot for group Acetal to images/phys-prop-scatters/densities-refit/scatter-Acetal.png
2025-09-10 11:44:53.594 | INFO     | __main__:main:369 - Saved scatter plot for group Alcohol to images/phys-prop-scatters/densities-refit/scatter-Alcohol.png
2025-09-10 11:44:53.594 | INFO     | __main__:main:337 - Skipping group Aldehyde with 4 entries (< 10)
2025-09-10 11:44:54.105 | INFO     | __main__:main:369 - Saved scatter plot for group Alkane to images/phys-prop-scatters/densities-refit/scatter-Alkane.png
2025-09-10 11:44:54.585 | INFO     | __main__:main:369 - Saved scatter plot for group Alkene to images/phys-prop-scatters/densities-refit/scatter-Alkene.png
2025-09-10 11:44:55.149 | INFO     | __main__:main:369 - Saved scatter plot for group Alkyl Bromide to images/phys-prop-scatters/densities-refit/scatter-Alkyl Bromide.png
2025-09-10 11:44:55.708 | INFO     | __main__:main:369 - Saved scatter plot for group Alkyl Chloride to images/phys-prop-scatters/densities-refit/scatter-Alkyl Chloride.png
2025-09-10 11:44:56.195 | INFO     | __main__:main:369 - Saved scatter plot for group Alkyl Fluoride to images/phys-prop-scatters/densities-refit/scatter-Alkyl Fluoride.png
2025-09-10 11:44:56.773 | INFO     | __main__:main:369 - Saved scatter plot for group Alkylarylether to images/phys-prop-scatters/densities-refit/scatter-Alkylarylether.png
2025-09-10 11:44:57.362 | INFO     | __main__:main:369 - Saved scatter plot for group Amine to images/phys-prop-scatters/densities-refit/scatter-Amine.png
2025-09-10 11:44:57.888 | INFO     | __main__:main:369 - Saved scatter plot for group Aqueous to images/phys-prop-scatters/densities-refit/scatter-Aqueous.png
2025-09-10 11:44:58.466 | INFO     | __main__:main:369 - Saved scatter plot for group Aromatic to images/phys-prop-scatters/densities-refit/scatter-Aromatic.png
2025-09-10 11:44:58.960 | INFO     | __main__:main:369 - Saved scatter plot for group Aryl Chloride to images/phys-prop-scatters/densities-refit/scatter-Aryl Chloride.png
