2025-09-10 11:46:18.694 | INFO     | __main__:main:325 - Reading statistics from output/phys-prop/dhmix-all/stats/Sage-2.0.0.csv
2025-09-10 11:46:18.696 | INFO     | __main__:main:325 - Reading statistics from output/phys-prop/dhmix-all/stats/Sage-2.2.1.csv
2025-09-10 11:46:18.697 | INFO     | __main__:main:325 - Reading statistics from output/phys-prop/dhmix-all/stats/Sage-2.3.0rc1.csv
2025-09-10 11:46:18.698 | INFO     | __main__:main:325 - Reading statistics from output/phys-prop/dhmix-all/stats/v1-k100.csv
2025-09-10 11:46:18.700 | INFO     | __main__:main:325 - Reading statistics from output/phys-prop/dhmix-all/stats/v3-k100.csv
2025-09-10 11:46:19.470 | INFO     | __main__:main:369 - Saved scatter plot for group All to images/phys-prop-scatters/dhmix-refit/scatter-All.png
2025-09-10 11:46:19.471 | INFO     | __main__:main:337 - Skipping group 1,2 Aminoalcohol with 9 entries (< 10)
2025-09-10 11:46:20.029 | INFO     | __main__:main:369 - Saved scatter plot for group 1,2 Diol to images/phys-prop-scatters/dhmix-refit/scatter-1,2 Diol.png
2025-09-10 11:46:20.544 | INFO     | __main__:main:369 - Saved scatter plot for group Acetal to images/phys-prop-scatters/dhmix-refit/scatter-Acetal.png
2025-09-10 11:46:21.110 | INFO     | __main__:main:369 - Saved scatter plot for group Alcohol to images/phys-prop-scatters/dhmix-refit/scatter-Alcohol.png
2025-09-10 11:46:21.111 | INFO     | __main__:main:337 - Skipping group Aldehyde with 3 entries (< 10)
2025-09-10 11:46:21.682 | INFO     | __main__:main:369 - Saved scatter plot for group Alkane to images/phys-prop-scatters/dhmix-refit/scatter-Alkane.png
2025-09-10 11:46:21.683 | INFO     | __main__:main:337 - Skipping group Alkene with 9 entries (< 10)
2025-09-10 11:46:22.189 | INFO     | __main__:main:369 - Saved scatter plot for group Alkyl Bromide to images/phys-prop-scatters/dhmix-refit/scatter-Alkyl Bromide.png
2025-09-10 11:46:22.722 | INFO     | __main__:main:369 - Saved scatter plot for group Alkyl Chloride to images/phys-prop-scatters/dhmix-refit/scatter-Alkyl Chloride.png
2025-09-10 11:46:23.267 | INFO     | __main__:main:369 - Saved scatter plot for group Alkyl Fluoride to images/phys-prop-scatters/dhmix-refit/scatter-Alkyl Fluoride.png
