,dataset,ligand_A,ligand_B,exp_ddG,exp_err,calc_ddG,calc_err
0,bace,CAT-4m,CAT-13k,-0.5500001907348633,0.0,1.53,0.29
1,bace,CAT-17g,CAT-17i,0.2700004577636719,0.0,-1.4,0.23
2,bace,CAT-13a,CAT-13i,-0.42999935150146484,0.0,-2.17,0.56
3,bace,CAT-4k,CAT-4j,-1.169999599456787,0.0,-0.59,0.19
4,bace,CAT-13j,CAT-4i,0.4700002670288086,0.0,0.17,0.33
5,bace,CAT-13k,CAT-4b,0.06999969482421875,0.0,-1.32,0.14
6,bace,CAT-13o,CAT-13f,-0.5500001907348633,0.0,-0.91,0.41
7,bace,CAT-17f,CAT-17d,0.0,0.0,1.77,0.28
8,bace,CAT-13k,CAT-4d,0.5900001525878906,0.0,-0.26,0.74
9,bace,CAT-13k,CAT-4o,0.31999969482421875,0.0,-0.08,0.39
10,bace,CAT-24,CAT-17i,1.877000808715822,0.0,1.9,0.19
11,bace,CAT-4m,CAT-4p,-0.9300003051757812,0.0,0.05,0.16
12,bace,CAT-13a,CAT-13o,0.3000001907348633,0.0,-0.24,0.52
13,bace,CAT-4p,CAT-4o,0.6999998092651367,0.0,0.99,0.19
14,bace,CAT-17i,CAT-17h,-0.8600006103515625,0.0,0.13,0.07
15,bace,CAT-13n,CAT-13j,-0.18999958038330078,0.0,-0.63,0.21
16,bace,CAT-4n,CAT-4i,0.8300008773803711,0.0,0.85,0.37
17,bace,CAT-4l,CAT-4j,0.32000064849853516,0.0,-0.7,0.39
18,bace,CAT-13b,CAT-13a,0.2799997329711914,0.0,-1.62,0.63
19,bace,CAT-24,CAT-17d,1.927000045776369,0.0,3.38,0.58
20,bace,CAT-17g,CAT-17e,-0.2799997329711914,0.0,-1.16,0.36
21,bace,CAT-13j,CAT-13m,-0.029999732971191406,0.0,-0.35,0.17
22,bace,CAT-4b,CAT-4d,0.5200004577636719,0.0,0.76,0.21
23,bace,CAT-13a,CAT-13g,-0.25,0.0,-0.86,0.57
24,bace,CAT-4m,CAT-4j,0.13000011444091797,0.0,1.47,0.42
25,bace,CAT-13b,CAT-13c,-0.19999980926513672,0.0,0.6,0.97
26,bace,CAT-17f,CAT-17c,-0.4399995803833008,0.0,-0.34,0.13
27,bace,CAT-13a,CAT-13c,-0.4799995422363281,0.0,0.02,0.13
28,bace,CAT-13d,CAT-17h,0.1399993896484375,0.0,0.18,0.08
29,bace,CAT-13e,CAT-13b,0.8400001525878924,0.0,2.18,0.6
30,bace,CAT-13a,CAT-13f,-0.25,0.0,-0.75,0.46
31,bace,CAT-17i,CAT-17c,-0.3900003433227539,0.0,-0.12,0.1
32,bace,CAT-4j,CAT-4o,-0.3600006103515625,0.0,-0.42,0.13
33,bace,CAT-13a,CAT-4p,-1.239999771118164,0.0,-2.15,0.21
34,bace,CAT-4c,CAT-4d,-1.2599997520446777,0.0,-0.64,0.4
35,bace,CAT-13d,CAT-13a,1.6299991607666016,0.0,2.69,0.72
36,bace,CAT-4n,CAT-4p,-0.9899997711181641,0.0,-0.07,0.11
37,bace,CAT-13n,CAT-4p,-1.5399999618530273,0.0,-2.11,0.28
38,bace,CAT-17b,CAT-13h,0.3899993896484375,0.0,3.32,0.62
39,bace,CAT-17b,CAT-17e,0.0,0.0,0.06,0.07
40,bace,CAT-4a,CAT-4k,0.07999992370605469,0.0,1.01,0.22
41,bace,CAT-13g,CAT-4p,-0.9899997711181641,0.0,-0.31,0.56
42,bace,CAT-13e,CAT-13a,1.1199998855590838,0.0,2.45,0.65
43,bace,CAT-13a,CAT-17h,-1.489999771118164,0.0,-2.47,0.61
44,bace,CAT-4a,CAT-4l,-1.4100003242492676,0.0,0.99,0.2
