,label,calc_dG,calc_err,exp_dG,exp_err,dataset
36,CAT-4m,-10.127491955000504,0.23793342556838637,-9.152999877929688,0.0,bace
37,CAT-13k,-8.718626306595565,0.30109969681669435,-9.70300006866455,0.0,bace
38,CAT-4p,-10.048536672252089,0.20371984684184793,-10.083000183105469,0.0,bace
39,CAT-4j,-8.60293228762793,0.2602782693787901,-9.02299976348877,0.0,bace
40,CAT-4b,-10.029007461511316,0.3265390878327926,-9.633000373840332,0.0,bace
41,CAT-4d,-9.247365060071758,0.374709963408633,-9.11299991607666,0.0,bace
42,CAT-4o,-9.017705199313891,0.24306406661603905,-9.383000373840332,0.0,bace
43,CAT-17g,-9.201445252421001,0.39319360268140774,-9.743000030517578,0.0,bace
44,CAT-17i,-10.576544735977292,0.33780990821512846,-9.472999572753906,0.0,bace
45,CAT-17e,-10.422449164162119,0.4805421036911871,-10.02299976348877,0.0,bace
46,CAT-17h,-10.444238260919184,0.33371623161294334,-10.333000183105469,0.0,bace
47,CAT-17c,-10.707218658120448,0.34980414689602823,-9.86299991607666,0.0,bace
48,CAT-13a,-7.956393500403394,0.1957262844407515,-8.843000411987305,0.0,bace
49,CAT-13i,-10.126393500403376,0.578348127168023,-9.27299976348877,0.0,bace
50,CAT-13o,-8.03001909646552,0.42728934392937395,-8.543000221252441,0.0,bace
51,CAT-13g,-9.242644826171148,0.3522988621961976,-9.093000411987305,0.0,bace
52,CAT-13c,-7.914748845613376,0.23181286979444865,-9.322999954223633,0.0,bace
53,CAT-13f,-8.83658885496422,0.41014219270942687,-9.093000411987305,0.0,bace
54,CAT-4k,-7.995965548654679,0.30804826746949476,-7.853000164031982,0.0,bace
55,CAT-13j,-8.810588531228682,0.25905335399757734,-8.732999801635742,0.0,bace
56,CAT-4i,-8.846627897484783,0.3275377770837655,-8.262999534606934,0.0,bace
57,CAT-13m,-9.155230089314475,0.25026158266563636,-8.762999534606934,0.0,bace
58,CAT-17f,-10.385257586542382,0.3691727008067116,-9.42300033569336,0.0,bace
