,label,calc_dG,calc_err,exp_dG,exp_err,dataset
36,CAT-13d,-10.847344258338408,0.27451685233616485,-10.472999572753906,0.0,bace
37,CAT-17h,-10.573534873121805,0.2712660744004817,-10.333000183105469,0.0,bace
38,CAT-17a,-11.45321589142186,0.28214785687424154,-10.732999801635742,0.0,bace
39,CAT-13a,-8.340978564365278,0.20650210181206521,-8.843000411987305,0.0,bace
40,CAT-4a,-8.138104826221268,0.30751518093739605,-7.933000087738037,0.0,bace
41,CAT-4l,-7.2706367023597025,0.3075490403996333,-9.343000411987305,0.0,bace
42,CAT-4k,-7.1727314200281915,0.3039978718977705,-7.853000164031982,0.0,bace
43,CAT-4j,-8.043833423671204,0.26739267743287176,-9.02299976348877,0.0,bace
44,CAT-17b,-10.518824321746706,0.3865541963144254,-10.02299976348877,0.0,bace
45,CAT-17e,-10.754695954830149,0.38308270222253216,-10.02299976348877,0.0,bace
46,CAT-13h,-7.694937842535714,0.4383176372452037,-9.633000373840332,0.0,bace
47,CAT-13i,-10.170978564365285,0.2527708805475832,-9.27299976348877,0.0,bace
48,CAT-13c,-7.7616205235981095,0.2327723140565943,-9.322999954223633,0.0,bace
49,CAT-13g,-9.200079103229887,0.25747707503565526,-9.093000411987305,0.0,bace
50,CAT-13f,-8.969025822501706,0.29052403395048426,-9.093000411987305,0.0,bace
51,CAT-4p,-9.810581198063753,0.22719246793583597,-10.083000183105469,0.0,bace
52,CAT-13o,-8.698807365078611,0.28284669459685957,-8.543000221252441,0.0,bace
53,CAT-4b,-10.66534838434713,0.31856459713390695,-9.633000373840332,0.0,bace
54,CAT-4d,-9.606484669963333,0.3554073793993913,-9.11299991607666,0.0,bace
55,CAT-13e,-10.207013810721126,0.5245398330948561,-9.963000297546388,0.0,bace
56,CAT-13b,-7.682961523748647,0.2679548733934859,-9.123000144958496,0.0,bace
57,CAT-4n,-9.70496154753495,0.23013262156522252,-9.093000411987305,0.0,bace
58,CAT-4i,-8.708056287648043,0.28386720711127345,-8.262999534606934,0.0,bace
59,CAT-13m,-9.237246859495942,0.2530208036890143,-8.762999534606934,0.0,bace
60,CAT-4o,-8.648954178668633,0.23920758294632435,-9.383000373840332,0.0,bace
61,CAT-13n,-7.958553105741479,0.27622751298898734,-8.543000221252441,0.0,bace
62,CAT-13j,-9.027176349971336,0.26075175721624083,-8.732999801635742,0.0,bace
63,CAT-13k,-9.210844436527006,0.2526334400965177,-9.70300006866455,0.0,bace
64,CAT-17f,-10.53524194685085,0.3017978210133856,-9.42300033569336,0.0,bace
65,CAT-17c,-10.744861486540858,0.2902181221068737,-9.86299991607666,0.0,bace
66,CAT-17d,-8.73794274534782,0.3976132251796114,-9.42300033569336,0.0,bace
67,CAT-24,-11.891117944972052,0.3534749591711058,-11.350000381469728,0.0,bace
68,CAT-17i,-10.554293144596272,0.2721838033021323,-9.472999572753906,0.0,bace
69,CAT-4m,-9.868886704491633,0.24696654615036748,-9.152999877929688,0.0,bace
70,CAT-17g,-9.328642084165324,0.3107612331357315,-9.743000030517578,0.0,bace
71,CAT-4c,-8.476484669963344,0.47225577438783783,-7.853000164031982,0.0,bace
34,2j,-10.408191262625431,0.11975589797496394,-10.079999923706056,0.0,p38
35,2p,-10.809437171041324,0.2585982436636304,-11.199999809265137,0.0,p38
36,2gg,-9.337276294900896,0.17408762863479507,-10.65999984741211,0.0,p38
37,2t,-12.272909969066244,0.17232739205682074,-11.850000381469728,0.0,p38
38,2v,-7.975047972577798,0.1503815770633925,-8.970000267028809,0.0,p38
39,2k,-8.954183551287018,0.10650815266355401,-10.550000190734863,0.0,p38
40,2l,-11.372586748472521,0.15503473031532006,-12.260000228881836,0.0,p38
41,2ff,-10.134605687931728,0.14626812574764192,-11.4399995803833,0.0,p38
42,2ee,-10.779152655726108,0.17298322078974948,-12.260000228881836,0.0,p38
43,3fln,-10.290202975912209,0.09685693287998527,-10.880000114440918,0.0,p38
44,2aa,-11.806123018168133,0.6184973475652662,-9.270000457763672,0.0,p38
45,3flq,-13.936976501245233,0.5112182466843845,-9.93000030517578,0.0,p38
