Parameter,Reference,Iteration,Value,Attribute,smirks,SMIRKS
n2,1.48419980825,0,1.48419980825,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,0,1.449786411317,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,0,1.287,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,0,1.187,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,0,1.443812569645,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,0,1.377051329051,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,0,1.370482808197,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,0,0.6192778454102,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,0,0.2999999999997,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,0,1.953447017081,rmin_half,[#6:1],[#6:1]
n15,1.908,0,1.908,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,0,1.896698071741,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,0,1.706036917087,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,0,1.697783613804,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,0,1.682099169199,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,0,1.799798315098,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,0,1.85628721824,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,0,1.969806594135,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,1,1.493819704007,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,1,1.436494520527,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,1,1.286921285113,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,1,1.186692406591,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,1,1.461392947587,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
