Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Density Value (g / ml),Density Uncertainty (g / ml),Source
dens_3865687259667125,298.15,101.0,Liquid,2,COC=O,Solvent,0.4725,,ClCCCl,Solvent,0.5275,,,,1.1269600000000004,,10.1016/j.jct.2006.10.008
dens_3881511669765346,298.15,101.325,Liquid,2,C1COCCN1,Solvent,0.298,,O,Solvent,0.702,,,,1.0309000000000004,,10.1021/je020191g
dhmix_7907651715919665,298.2,101.3,Liquid,2,CC(C)O,Solvent,0.2492,,CCOC(=O)CC(=O)OCC,Solvent,0.7508,,1.804,,,,10.1021/je9003806
dens_12748520638703481,308.15,101.0,Liquid,2,COc1ccccc1,Solvent,0.5551,,OCCCc1ccccc1,Solvent,0.4449,,,,0.9852700000000002,,10.1021/je050085p
dens_13899082091498462,308.15,101.0,Liquid,2,CCOc1ccccc1,Solvent,0.7074,,OCCCc1ccccc1,Solvent,0.2926,,,,0.9634300000000002,,10.1021/je050085p
dhmix_14477488793854648,298.15,100.0,Liquid,2,CCCCC(=O)OC,Solvent,0.5055,,COC(C)=O,Solvent,0.4945,,0.238,,,,10.1021/acs.jced.5b00813
dens_16058701216155390,298.15,100.0,Liquid,2,CCCCC(=O)OC,Solvent,0.7258,,COC=O,Solvent,0.2742,,,,0.8955000000000002,,10.1016/j.jct.2015.02.019
dens_16860003250172961,293.15,100.0,Liquid,2,C=CCCCC,Solvent,0.5018,,CCCCO,Solvent,0.4982,,,,0.7340000000000002,,10.1021/je301301j
dens_17020549894674398,298.15,101.3,Liquid,2,CCCCCC(C)=O,Solvent,0.7418,,CCCNCCC,Solvent,0.2582,,,,0.7918920000000003,,10.1016/j.jct.2011.05.003
dens_17675712296333450,298.15,100.0,Liquid,2,CNC=O,Solvent,0.4987,,Cc1ccccc1Cl,Solvent,0.5013,,,,1.0502000000000002,,10.1016/j.jct.2013.12.006
dens_18082888478860427,298.15,100.0,Liquid,2,C1CCCCC1,Solvent,0.7622,,C1CCOCC1,Solvent,0.2378,,,,0.7952000000000002,,10.1016/j.jct.2014.06.030
dens_25953389936443494,298.15,101.0,Liquid,2,CCCOC=O,Solvent,0.3685,,ClCCCl,Solvent,0.6315,,,,1.1039800000000002,,10.1016/j.jct.2006.10.008
dens_25974551974109971,308.15,101.0,Liquid,2,CCOc1ccccc1,Solvent,0.7572,,OCc1ccccc1,Solvent,0.2428,,,,0.9686500000000002,,10.1021/je050085p
dhmix_26782117301212118,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.21,,ClCCCCCl,Solvent,0.79,,-0.406,,,,10.1016/j.jct.2008.01.024
dhmix_29644742693186424,298.15,101.0,Liquid,2,BrCCBr,Solvent,0.7209,,COC(C)=O,Solvent,0.2791,,0.2594,,,,10.1016/j.jct.2006.05.004
dens_30715925081223933,298.15,101.325,Liquid,1,C1CCCC1,Solvent,1.0,,,,,,,,0.7400000000000002,,10.1021/je8009336
dens_34010468674868557,298.15,101.0,Liquid,2,CC(=O)c1ccccc1,Solvent,0.5345,,CC(C)O,Solvent,0.4655,,,,0.9375600000000002,,10.1021/je9005823
dhmix_35033450112151744,298.15,101.3,Liquid,2,CC(C)CO,Solvent,0.7516,,CCOC(=O)CC(=O)OCC,Solvent,0.2484,,2.053,,,,10.1016/j.fluid.2009.11.030
dens_37727770347378979,298.15,101.0,Liquid,2,CN1CCCCC1,Solvent,0.505,,O,Solvent,0.495,,,,0.8581580000000002,,10.1016/j.fluid.2010.05.001
dens_43142089383747956,298.15,100.8,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.25,,CC(C)OC(C)C,Solvent,0.75,,,,0.7090800000000002,,10.1021/je050367p
dhmix_45502958580113436,298.15,100.0,Liquid,2,CCCCC(=O)OC,Solvent,0.3486,,COC=O,Solvent,0.6514,,0.422,,,,10.1016/j.jct.2015.02.019
dhmix_45904774577450732,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.526,,CCCCCO,Solvent,0.474,,0.97,,,,10.1021/je060368x
dens_46869146477242831,298.15,100.0,Liquid,2,CCCCCCC,Solvent,0.7405,,CNc1ccccc1,Solvent,0.2595,,,,0.7424910000000001,,10.1021/je400134d
dens_48119332485836551,308.15,101.0,Liquid,2,C1COCO1,Solvent,0.2685,,Cc1ccccc1Cl,Solvent,0.7315,,,,1.0630000000000002,,10.1021/je400722h
dhmix_48742361789438210,308.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.4821,,Cc1ccccc1,Solvent,0.5179,,-0.2985,,,,10.1016/j.jct.2010.12.016
dhmix_51518120145192953,298.15,101.0,Liquid,2,CCC(C)(C)O,Solvent,0.2997,,CCOC(C)(C)CC,Solvent,0.7003,,0.9727,,,,10.1021/je300670n
dens_52423529814394502,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2373,,Cc1ccccn1,Solvent,0.7627,,,,0.9261620000000004,,10.1016/j.tca.2011.02.002
dhmix_55725140654853118,308.15,101.0,Liquid,2,CNC=O,Solvent,0.2174,,Cc1ccccc1N,Solvent,0.7826,,-0.4044,,,,10.1016/j.tca.2011.06.020
dens_58375846666854874,298.15,101.0,Liquid,2,CC(C)O,Solvent,0.764357,,O,Solvent,0.235643,,,,0.8030100000000002,,10.1021/je201010s
dens_58674289346864239,303.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.4795,,CN1CCCC1=O,Solvent,0.5205,,,,0.9166100000000004,,10.1016/j.jct.2009.01.006
dhmix_60134023807129390,298.15,101.325,Liquid,2,CCCO,Solvent,0.2374,,O=Cc1ccccc1,Solvent,0.7626,,1.2579,,,,10.1016/j.jct.2011.05.014
dens_62246191477403288,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.2498,,c1ccccc1,Solvent,0.7502,,,,0.8405780000000002,,10.1016/j.tca.2012.04.002
dens_64900729954428916,308.15,101.0,Liquid,2,CCOc1ccccc1,Solvent,0.4826,,OCCc1ccccc1,Solvent,0.5174,,,,0.9803700000000002,,10.1021/je050085p
dens_65090258951632984,298.15,101.0,Liquid,2,CC(C)OC(C)C,Solvent,0.2004,,Cc1ccccc1,Solvent,0.7996,,,,0.8299700000000002,,10.1016/j.fluid.2008.06.019
dhmix_65272122153949862,308.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.5467,,c1ccccc1,Solvent,0.4533,,-0.4943,,,,10.1016/j.jct.2010.12.016
dens_65734410599322160,298.15,101.325,Liquid,1,CN(C)C=O,Solvent,1.0,,,,,,,,0.94381,,10.1021/je049953t
dens_66793021011978633,298.15,101.3,Liquid,2,C1COCCO1,Solvent,0.2203,,CCCCCC(C)=O,Solvent,0.7797,,,,0.8420800000000003,,10.1021/je034037l
dhmix_66964298644178594,298.15,101.0,Liquid,2,O,Solvent,0.5011,,OCCN1CCOCC1,Solvent,0.4989,,-2.2633,,,,10.1016/j.jct.2015.06.006
