,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Density Value (g / ml),Density Uncertainty (g / ml),Source
0,5259,298.15,101.325,Liquid,1,CO,Solvent,1.0,,,,,,,,0.7866000000000002,,10.1016/j.jct.2015.09.010
1,5260,298.15,101.325,Liquid,1,CCCCC,Solvent,1.0,,,,,,,,0.6208900000000002,,10.1016/j.fluid.2013.11.026
2,5261,298.15,101.325,Liquid,1,Cc1ccccc1Cl,Solvent,1.0,,,,,,,,1.0764700000000005,,10.1016/j.fluid.2014.01.019
3,5262,298.15,101.325,Liquid,1,Cn1ccnc1,Solvent,1.0,,,,,,,,1.0332000000000003,,10.1016/j.fluid.2009.02.011
4,5263,298.15,101.325,Liquid,1,CN1CCOCC1,Solvent,1.0,,,,,,,,0.9141500000000002,,10.1021/je200093f
5,5264,298.15,101.325,Liquid,1,CNCCO,Solvent,1.0,,,,,,,,0.93618,,10.1021/je1002626
6,5265,298.05,101.0,Liquid,1,BrCCCCCBr,Solvent,1.0,,,,,,,,1.6918700000000002,,10.1021/je060200b
7,5266,298.15,101.325,Liquid,1,CC(=O)c1ccccc1,Solvent,1.0,,,,,,,,1.0230000000000004,,10.1016/j.fluid.2006.09.014
8,5267,298.15,101.325,Liquid,1,CCN(CC)CC,Solvent,1.0,,,,,,,,0.7228140000000002,,10.1016/j.jct.2013.09.026
9,5268,298.15,101.325,Liquid,1,CC(C)(C)O,Solvent,1.0,,,,,,,,0.7805660000000002,,10.1016/j.fluid.2014.06.005
10,5269,298.15,101.325,Liquid,1,COC(C)=O,Solvent,1.0,,,,,,,,0.9270100000000002,,10.1021/je9005618
11,5270,298.15,101.325,Liquid,1,CC(=O)N(C)C,Solvent,1.0,,,,,,,,0.9363,,10.1016/j.jct.2004.11.015
12,5271,298.15,101.325,Liquid,1,CNc1ccccc1,Solvent,1.0,,,,,,,,0.9822000000000004,,10.1021/je401098b
13,5272,298.15,101.325,Liquid,1,C1CCCCC1,Solvent,1.0,,,,,,,,0.7738000000000002,,10.1016/j.fluid.2013.10.033
14,5273,298.15,101.325,Liquid,1,c1cc[nH]c1,Solvent,1.0,,,,,,,,0.9659000000000002,,10.1021/je8006265
15,5274,298.15,101.325,Liquid,1,c1ccncc1,Solvent,1.0,,,,,,,,0.9828500000000002,,10.1016/j.fluid.2015.04.031
16,5275,298.15,101.325,Liquid,1,CN(C)C=O,Solvent,1.0,,,,,,,,0.94381,,10.1021/je049953t
17,5276,298.15,101.325,Liquid,1,CC(=O)C(C)C,Solvent,1.0,,,,,,,,0.7995500000000001,,10.1016/j.fluid.2013.01.020
18,5277,298.15,101.325,Liquid,1,NCCO,Solvent,1.0,,,,,,,,1.0117900000000002,,10.1016/j.fluid.2015.06.041
19,5278,298.15,101.325,Liquid,1,OCCNCCO,Solvent,1.0,,,,,,,,1.0932210000000002,,10.1021/je300938w
20,5279,298.15,101.325,Liquid,1,OCCN(CCO)CCO,Solvent,1.0,,,,,,,,1.1209900000000004,,10.1021/je900064e
21,5280,298.15,101.325,Liquid,1,C1CCNCC1,Solvent,1.0,,,,,,,,0.8646000000000003,,10.1016/j.fluid.2009.10.018
22,5281,298.15,101.0,Liquid,1,BrCCBr,Solvent,1.0,,,,,,,,2.1691370000000005,,10.1007/s10765-010-0874-x
23,5282,298.15,101.325,Liquid,1,CC1CCCCC1,Solvent,1.0,,,,,,,,0.7650200000000001,,10.1016/j.fluid.2013.10.033
24,5283,298.15,101.325,Liquid,1,CC(C)CC(C)(C)C,Solvent,1.0,,,,,,,,0.6879000000000002,,10.1016/j.fluid.2012.06.031
25,5284,298.15,101.325,Liquid,1,COc1ccccc1,Solvent,1.0,,,,,,,,0.9893000000000002,,10.1021/je050085p
26,5285,298.15,101.325,Liquid,1,CCOC=O,Solvent,1.0,,,,,,,,0.91417,,10.1016/j.jct.2005.03.020
27,5286,298.15,101.325,Liquid,1,OC1=NCCC1,Solvent,1.0,,,,,,,,0.9942800000000002,,10.1007/s10765-010-0717-9
28,5287,298.15,101.325,Liquid,1,Cc1ccccc1N,Solvent,1.0,,,,,,,,0.9942800000000002,,10.1016/j.tca.2008.06.004
29,5288,298.15,101.325,Liquid,1,CNC=O,Solvent,1.0,,,,,,,,0.9988000000000002,,10.1021/je050209y
30,5289,298.15,101.325,Liquid,1,OCCN1CCOCC1,Solvent,1.0,,,,,,,,1.0713,,10.1016/j.jct.2007.11.010
31,5290,298.15,101.325,Liquid,1,C1COCO1,Solvent,1.0,,,,,,,,1.0590000000000002,,10.1016/j.fluid.2007.05.013
32,5291,298.15,101.325,Liquid,1,CN1CCCC1=O,Solvent,1.0,,,,,,,,1.0282300000000002,,10.1016/j.tca.2013.04.011
33,5292,297.98,101.325,Liquid,1,BrCCCBr,Solvent,1.0,,,,,,,,1.9702200000000003,,10.1007/s10765-009-0610-6
34,5293,295.15,101.325,Liquid,1,BrCCCCBr,Solvent,1.0,,,,,,,,1.8194400000000004,,10.1016/j.jct.2005.07.009
35,5294,298.15,101.325,Liquid,1,CN1CCNCC1,Solvent,1.0,,,,,,,,0.8998000000000002,,10.1016/j.fluid.2005.05.012
36,5295,298.15,101.325,Liquid,1,Cc1ccccn1,Solvent,1.0,,,,,,,,0.9398000000000002,,10.1016/j.jct.2004.11.015
37,5296,298.15,101.325,Liquid,1,Cc1cccnc1,Solvent,1.0,,,,,,,,0.9526100000000004,,10.1021/je200093f
38,5297,298.15,101.325,Liquid,1,CC(C)CCl,Solvent,1.0,,,,,,,,0.8715330000000002,,10.1016/j.jct.2012.02.039
39,5298,298.15,101.325,Liquid,1,CC(C)OC(C)C,Solvent,1.0,,,,,,,,0.7182300000000001,,10.1016/j.fluid.2013.01.020
40,5299,298.15,101.325,Liquid,1,CC(C)(C)Cl,Solvent,1.0,,,,,,,,0.8370960000000002,,10.1016/j.jct.2012.02.039
41,5300,298.15,101.325,Liquid,1,Cc1ccncc1,Solvent,1.0,,,,,,,,0.9498700000000002,,10.1021/je200093f
42,5301,298.15,101.325,Liquid,1,O=C1CCCCCC1,Solvent,1.0,,,,,,,,0.9476200000000002,,10.1021/acs.jced.6b00606
43,5302,298.15,101.325,Liquid,1,CC(=O)C(C)=O,Solvent,1.0,,,,,,,,0.9855000000000004,,10.1021/je300280s
44,5303,298.15,101.325,Liquid,1,CC/C=C\CCO,Solvent,1.0,,,,,,,,0.8486400000000002,,10.1021/je300280s
45,5304,298.15,101.325,Liquid,1,OCC(O)CO,Solvent,1.0,,,,,,,,1.2585200000000003,,10.1016/j.fluid.2014.06.015
46,5305,298.15,101.325,Liquid,1,COC=O,Solvent,1.0,,,,,,,,0.9663800000000002,,10.1021/je200974r
47,5306,298.15,101.325,Liquid,1,c1ccccc1,Solvent,1.0,,,,,,,,0.8735700000000003,,10.1016/j.fluid.2013.10.033
48,5307,298.15,101.325,Liquid,1,COC(C)(C)C,Solvent,1.0,,,,,,,,0.7359900000000001,,10.1016/j.jct.2005.07.017
