Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Density Value (g / ml),Density Uncertainty (g / ml),EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
dhmix_66964298644178594,298.15,101.0,Liquid,2,O,Solvent,0.5011,,OCCN1CCOCC1,Solvent,0.4989,,,,-2.2633,0.02415,10.1016/j.jct.2015.06.006
dhmix_68326956992969284,298.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.7005,,CCCCO,Solvent,0.2995,,,,0.6228,0.0028,10.1016/j.fluid.2012.06.031
dhmix_74169972508019963,308.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.7266,,C1CCOCC1,Solvent,0.2734,,,,0.4424,0.00485,10.1016/j.tca.2010.03.028
dhmix_75724716035417509,298.15,101.0,Liquid,2,CC(C)=O,Solvent,0.5086,,CNc1ccccc1,Solvent,0.4913999999999999,,,,-0.672,0.0075,10.1021/je200333p
dhmix_76674223723028407,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.6359,,c1ccncc1,Solvent,0.3641,,,,-0.4013,0.10035,10.1016/j.jct.2013.09.015
dens_78006006148735265,293.15,101.325,Liquid,2,Cc1cccnc1,Solvent,0.5,,O,Solvent,0.5,,0.9797000000000002,0.0003,,,10.1016/j.jct.2004.11.009
dhmix_78810465534250245,298.15,101.0,Liquid,2,CCCCC,Solvent,0.5001,,CCOC=O,Solvent,0.4999,,,,1.354,0.0055,10.1016/j.fluid.2013.11.026
dhmix_79456699048824806,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.5,,ClCCCl,Solvent,0.5,,,,-1.264,0.0055,10.1016/j.jct.2008.01.024
dens_83483902364127306,298.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.23126,,c1ccncc1,Solvent,0.76874,,0.9906030000000002,0.0001015,,,10.1021/je400184t
dens_83694892672736667,303.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.0824,,CCO,Solvent,0.9176,,0.7605800000000003,0.000125,,,10.1021/je9001416
dhmix_84368047197915959,298.15,100.0,Liquid,2,CCCCC(=O)OC,Solvent,0.2347,,COC(C)=O,Solvent,0.7653,,,,0.173,0.002,10.1021/acs.jced.5b00813
dhmix_85527340668116901,298.43,101.0,Liquid,2,CCC#N,Solvent,0.5014000000000001,,CCOC(C)(C)C,Solvent,0.4986,,,,0.5053,0.00685,10.1021/je301238f
dhmix_86370789880544094,298.15,101.3,Liquid,2,CC(C)CO,Solvent,0.499,,CCCCBr,Solvent,0.501,,,,1.207,0.013,10.1021/je020110g
dhmix_87052564931346859,298.15,101.0,Liquid,2,O,Solvent,0.7913,,OCCCO,Solvent,0.2087,,,,-0.924,0.012,10.1016/j.jct.2005.06.018
dhmix_87224321404692519,298.15,101.0,Liquid,2,CO,Solvent,0.5,,O,Solvent,0.5,,,,-0.777,0.0045,10.1016/j.tca.2006.02.028
dhmix_88605880388684165,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.8208,,c1ccccc1,Solvent,0.1792,,,,0.3441,0.00245,10.1016/j.fluid.2013.10.029
dens_92245174805481762,298.39,101.0,Liquid,2,CCC#N,Solvent,0.5025,,CCOC(C)(C)CC,Solvent,0.4975,,0.7683000000000001,0.00035,,,10.1021/je301238f
dhmix_93369778294268669,303.15,100.0,Liquid,2,CCOC(=O)C(C)C,Solvent,0.289,,CO,Solvent,0.7110000000000001,,,,0.488,0.0035,10.1016/j.jct.2019.105884
dens_94260345926446663,298.15,101.3,Liquid,2,C1COCO1,Solvent,0.5071,,CCCCCC(C)=O,Solvent,0.4929,,0.8936300000000003,0.00034,,,10.1021/je034223r
dens_94449417795092682,298.15,101.0,Liquid,2,CN(C)CCCO,Solvent,0.8006,,O,Solvent,0.1994,,0.8915100000000002,9.500000000000002e-05,,,10.1016/j.tca.2012.05.025
dens_95376242809292393,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2262999999999999,,Cc1ccccc1Cl,Solvent,0.7737,,1.0396,0.0005,,,10.1021/je400722h
dens_96164616347760886,298.15,100.0,Liquid,2,CCCC(=O)OC,Solvent,0.6958,,COC(C)=O,Solvent,0.3042,,0.8997600000000002,0.000505,,,10.1021/acs.jced.5b00813
dhmix_96975902268639908,298.15,101.0,Liquid,2,CNCCO,Solvent,0.1992,,O,Solvent,0.8008,,,,-2.243,0.0455,10.1016/j.jct.2007.03.010
dhmix_99229542500114873,298.15,101.0,Liquid,2,CC#N,Solvent,0.5295,,c1ccccc1,Solvent,0.4705,,,,0.4415,0.00905,10.1021/je100489z
dens_99766236504772178,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2297,,Cc1ccccc1N,Solvent,0.7703,,0.9734540000000002,0.000164,,,10.1016/j.tca.2011.06.020
dens_101564165617205313,298.15,100.0,Liquid,2,CN(C)C=O,Solvent,0.5035000000000001,,Cc1ccccc1Cl,Solvent,0.4965,,1.0247000000000004,0.0005,,,10.1016/j.jct.2013.12.006
dhmix_101692975071859692,298.15,101.0,Liquid,2,NCCNCCO,Solvent,0.77,,O,Solvent,0.2299999999999999,,,,-1.711,0.035,10.1016/j.jct.2007.03.010
dhmix_101733304349279805,303.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.5158,,CCO,Solvent,0.4842,,,,0.638973,0.006903,10.1021/je7005743
dhmix_103742846326974865,298.15,101.0,Liquid,2,CCCNCCC,Solvent,0.7496,,CN(C)C=O,Solvent,0.2504,,,,0.529,0.017,10.1016/j.fluid.2019.112283
dhmix_103816457580247885,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.1995,,CC(C)O,Solvent,0.8005,,,,0.438,0.011,10.1016/j.jct.2015.01.013
dens_104731482668663461,293.15,101.0,Liquid,2,NCCNCCN,Solvent,0.4974,,O,Solvent,0.5025999999999999,,0.9928000000000002,0.0005,,,10.1016/j.jct.2008.11.012
dhmix_105643492602027711,298.15,101.0,Liquid,2,CC(C)(C)Cl,Solvent,0.2192,,CC(C)OC(C)C,Solvent,0.7807999999999999,,,,0.007,0.0004,10.1016/j.fluid.2011.06.001
dens_108046941138830346,298.15,101.33,Liquid,2,c1cc[nH]c1,Solvent,0.5426,,c1ccncc1,Solvent,0.4574,,0.9706400000000002,5.5000000000000016e-05,,,10.1016/j.fluid.2013.10.029
dens_109125936532533792,298.15,101.0,Liquid,2,CCCCCCCCC,Solvent,0.6962999999999999,,COC(C)(C)C,Solvent,0.3037,,0.7173600000000002,0.000295,,,10.1021/je700428f
dhmix_110795338745815995,308.15,101.0,Liquid,2,COc1ccccc1,Solvent,0.2374,,OCCCc1ccccc1,Solvent,0.7626,,,,0.6076,0.0066,10.1021/je050085p
dhmix_112611193464982802,298.15,101.0,Liquid,2,C=CCCCC,Solvent,0.7499,,CCCCO,Solvent,0.2501,,,,0.63978,0.00696,10.1016/j.fluid.2011.11.005
dens_114049563358892657,298.15,100.0,Liquid,2,CC(=O)N(C)C,Solvent,0.503,,CCCCCCCl,Solvent,0.497,,0.8975000000000002,0.00025,,,10.1021/je700096m
dens_118405538634671921,298.15,101.0,Liquid,2,O,Solvent,0.5,,O=C1CCCO1,Solvent,0.5,,1.1059000000000003,0.0001,,,10.1021/je100803e
dens_124774773355671918,298.15,100.0,Liquid,2,CN(C)C=O,Solvent,0.7512,,Cc1ccccc1Cl,Solvent,0.2488,,0.9898800000000002,0.0005,,,10.1016/j.jct.2013.12.006
dens_125607904526698733,298.15,100.0,Liquid,2,CC#N,Solvent,0.5098,,CCCCOCCCC,Solvent,0.4902,,0.7671500000000001,0.00026,,,10.1016/j.jct.2007.09.007
dens_126907613085874509,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.7336,,c1ccncc1,Solvent,0.2663999999999999,,0.8933350000000002,0.000358,,,10.1016/j.tca.2011.02.002
dens_131194519632539911,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.503,,c1ccccc1,Solvent,0.497,,0.9220400000000002,0.00019,,,10.1021/je100526j
dhmix_132311530856436933,298.4,101.0,Liquid,2,CC#N,Solvent,0.2016,,CCOC(C)(C)CC,Solvent,0.7984,,,,0.6411,0.0087,10.1021/je301238f
dens_133045995616702696,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.5018,,CCCCNCCCC,Solvent,0.4982,,0.7693960000000002,9.950000000000003e-05,,,10.1016/j.tca.2010.09.004
dhmix_133328098640946323,308.15,100.0,Liquid,2,C1COCCO1,Solvent,0.7716,,O=C1CCCCCC1,Solvent,0.2284,,,,0.0694,0.0009,10.1021/acs.jced.6b00606
dens_134389394047538428,298.15,101.0,Liquid,2,O,Solvent,0.2,,O=C1CCCO1,Solvent,0.8,,1.1182000000000003,0.0001,,,10.1021/je100803e
dens_134864154942687512,293.15,101.0,Liquid,2,O,Solvent,0.2561,,OCCN1CCOCC1,Solvent,0.7439,,1.08031,0.001565,,,10.1016/j.jct.2008.01.007
dens_142575917425682390,298.15,101.0,Liquid,2,CC(=O)c1ccccc1,Solvent,0.7561,,CC(C)O,Solvent,0.2439,,0.9823500000000004,0.000175,,,10.1021/je9005823
dens_152337772365230844,298.15,100.0,Liquid,2,CCCCCl,Solvent,0.499,,CN(C)C=O,Solvent,0.501,,0.9086000000000002,0.0002,,,10.1021/je700096m
dhmix_152445132158621443,298.15,101.0,Liquid,2,CCCCOC(C)=O,Solvent,0.5018,,CCOC(C)=O,Solvent,0.4982,,,,0.076,0.0012,10.1021/je400036b
dhmix_152505525412600849,298.15,101.0,Liquid,2,CC(C)=O,Solvent,0.7097,,CNc1ccccc1,Solvent,0.2903,,,,-0.525,0.0055,10.1021/je200333p
dens_152649519751099449,298.145,101.325,Liquid,2,CN(CCO)CCO,Solvent,0.2571,,O,Solvent,0.7429,,1.0522550000000004,0.000221,,,10.1021/je030120x
dens_158113852501392953,308.15,101.0,Liquid,2,CCOc1ccccc1,Solvent,0.4826,,OCCc1ccccc1,Solvent,0.5174000000000001,,0.9803700000000002,0.00026,,,10.1021/je050085p
dens_159543886273622430,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.7473,,CCCCNCCCC,Solvent,0.2527,,0.7810500000000001,9.750000000000004e-05,,,10.1016/j.tca.2010.09.004
dhmix_160957310410133702,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.6984,,CCCNCCC,Solvent,0.3016,,,,0.334,0.0035,10.1016/j.fluid.2013.01.011
dens_166141661760380901,298.15,101.3,Liquid,2,C1COCO1,Solvent,0.7174,,CCCC(C)=O,Solvent,0.2825999999999999,,0.9625500000000002,0.000245,,,10.1021/je034223r
dhmix_166542370061769676,298.15,101.3,Liquid,2,CCC(C)(C)O,Solvent,0.7306,,CCO,Solvent,0.2694,,,,-0.7709,0.00335,10.1021/je101031j
dhmix_166642588975237136,303.15,100.0,Liquid,2,CN(C)CCCO,Solvent,0.1998,,O,Solvent,0.8002,,,,-2.514,0.027,10.1016/j.jct.2015.04.030
dhmix_166790631138187357,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.4834,,Cc1ccncc1,Solvent,0.5166,,,,0.1741,0.00135,10.1016/j.tca.2011.02.002
dhmix_172057861397347124,298.15,101.0,Liquid,2,CC(C)=O,Solvent,0.4107,,Nc1ccccc1,Solvent,0.5892999999999999,,,,-1.165,0.0125,10.1021/je200333p
dens_176338892171529578,298.15,101.0,Liquid,2,CN1CCCCC1,Solvent,0.7907,,O,Solvent,0.2093,,0.8260470000000002,0.000108,,,10.1016/j.fluid.2010.05.001
dens_178106442472063222,298.15,100.0,Liquid,2,CC(=O)N(C)C,Solvent,0.6992,,CCCCCCCl,Solvent,0.3007999999999999,,0.9104000000000002,0.0002,,,10.1021/je700096m
dhmix_178265506307176283,298.15,101.0,Liquid,2,CC#N,Solvent,0.7711,,CCCCCO,Solvent,0.2289,,,,1.656,0.007,10.1016/j.tca.2006.08.007
dhmix_178284522242595679,303.15,100.0,Liquid,2,NCCNCCN,Solvent,0.2416,,O,Solvent,0.7584,,,,-6.523,0.0695,10.1016/j.jct.2015.04.030
dhmix_181100460658421199,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.2352999999999999,,CCCNCCC,Solvent,0.7647,,,,0.299,0.0035,10.1016/j.fluid.2013.01.011
dhmix_184826438223714159,298.15,101.0,Liquid,2,BrCCBr,Solvent,0.0595,,COC=O,Solvent,0.9405,,,,0.1715,0.00215,10.1016/j.jct.2006.05.004
dens_188745293956082881,298.15,100.0,Liquid,2,CCCCNCCCC,Solvent,0.4928,,CN(C)C=O,Solvent,0.5072,,0.8153440000000003,0.0009895,,,10.1021/acs.jced.5b00802
dens_192501161225823783,293.15,101.0,Liquid,2,CN1CCOCC1,Solvent,0.7587,,O,Solvent,0.2412999999999999,,0.9345300000000002,0.00112,,,10.1021/je800197t
dhmix_196427915623271783,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.4926,,Cc1cccnc1,Solvent,0.5074000000000001,,,,-1.4091,0.0287,10.1016/j.jct.2010.12.028
dens_198407569448676752,298.15,101.0,Liquid,2,NCCO,Solvent,0.55864,,c1ccncc1,Solvent,0.44136,,0.9936870000000002,0.0001015,,,10.1021/je400184t
dens_200121133013075786,298.15,100.0,Liquid,2,CCCCC(=O)OC,Solvent,0.3493,,COC=O,Solvent,0.6507000000000001,,0.9198400000000002,0.000115,,,10.1016/j.jct.2015.02.019
dens_201827014326574042,298.15,101.0,Liquid,2,CC(C)O,Solvent,0.7433000000000001,,CCCCOCCO,Solvent,0.2567,,0.8247900000000001,5.600000000000001e-05,,,10.1016/j.fluid.2013.06.021
dhmix_202049157252358493,308.15,101.0,Liquid,2,CCOCCO,Solvent,0.4786,,c1ccccc1,Solvent,0.5214,,,,0.4912,0.00645,10.1016/j.fluid.2006.04.016
dhmix_204491166773507416,298.39,101.0,Liquid,2,CCC#N,Solvent,0.7012,,CCOC(C)(C)CC,Solvent,0.2988,,,,0.5863,0.008,10.1021/je301238f
dhmix_204904281379453595,298.15,101.0,Liquid,2,CC(=O)N(C)C,Solvent,0.212,,ClCCCCCCCl,Solvent,0.788,,,,0.04,0.002,10.1016/j.jct.2007.06.017
dens_205051689726109422,313.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.6977,,Cc1ccccc1,Solvent,0.3023,,0.7818000000000002,0.00041,,,10.1021/je800940j
dens_205661100311092059,298.15,101.3,Liquid,2,Clc1ccccc1,Solvent,0.2931,,c1ccccc1,Solvent,0.7069,,0.9468000000000002,0.00025,,,10.1021/je030130y
dhmix_208154445314976973,298.15,101.0,Liquid,2,CCCCCC(C)=O,Solvent,0.4912999999999999,,CCCCNCCCC,Solvent,0.5087,,,,0.278,0.003,10.1016/j.fluid.2013.01.011
dhmix_211839138837616505,298.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.4004,,CCCCOCCCC,Solvent,0.5996,,,,0.11538,0.001385,10.1016/j.fluid.2009.11.010
dhmix_212265571655313344,298.15,101.3,Liquid,2,C1COCO1,Solvent,0.75,,CCCC(C)=O,Solvent,0.25,,,,0.17046,0.00107,10.1021/je034223r
dhmix_215736668518496791,298.15,101.0,Liquid,2,BrCCBr,Solvent,0.5153,,CCCCOC(=O)CCC,Solvent,0.4847,,,,-0.027,0.0005,10.1016/j.jct.2009.05.006
dens_217203361973221607,293.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.2216,,Cc1ccccc1,Solvent,0.7784,,0.9061600000000002,0.00076,,,10.1016/j.jct.2006.05.006
dens_227383917846751049,298.15,101.3,Liquid,2,NCCCO,Solvent,0.2728086663651735,,O,Solvent,0.7271913336348265,,1.0118000000000005,0.0014,,,10.1021/acs.jced.5b00412
dhmix_227448111426772630,298.15,101.0,Liquid,2,BrCCBr,Solvent,0.7574,,COC=O,Solvent,0.2426,,,,0.653,0.00585,10.1016/j.jct.2006.05.004
dhmix_233359739988730849,298.41,101.0,Liquid,2,CC#N,Solvent,0.7007,,CCOC(C)(C)C,Solvent,0.2993,,,,0.6176,0.0084,10.1021/je301238f
dhmix_233560612438505808,298.15,101.0,Liquid,2,NCCNCCO,Solvent,0.0699,,O,Solvent,0.9301,,,,-1.713,0.035,10.1016/j.jct.2007.03.010
dens_235683955469059318,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.1999999999999999,,CC(C)O,Solvent,0.8,,0.7761000000000002,0.0003,,,10.1016/j.jct.2007.02.008
dhmix_235871820398021316,298.15,101.0,Liquid,2,CCCCC(=O)OCC,Solvent,0.2799,,CCOC(C)=O,Solvent,0.7201,,,,0.139,0.0015,10.1016/j.jct.2012.03.011
dhmix_236594573006208225,298.15,101.0,Liquid,2,CCOC(C)(C)C,Solvent,0.7495,,Cc1ccccc1,Solvent,0.2504999999999999,,,,-0.0348,0.0005,10.1016/j.jct.2008.12.004
dhmix_243569655989716577,298.15,101.3,Liquid,2,CN1CCCC1=O,Solvent,0.2531,,ClCCCl,Solvent,0.7469,,,,-0.8118,0.01525,10.1021/je020065c
dens_244816283100984424,298.15,101.3,Liquid,2,O,Solvent,0.5,,OC1=NCCC1,Solvent,0.5,,1.0977070000000004,0.0005555,,,10.1021/je0340809
dens_244854414057321364,298.15,101.0,Liquid,2,O,Solvent,0.70099,,OCCO,Solvent,0.29901,,1.0735400000000002,0.0005,,,10.1016/j.fluid.2013.01.025
dhmix_245948502656874703,298.15,101.0,Liquid,2,CCCCCCN,Solvent,0.2497,,CN(C)C=O,Solvent,0.7503,,,,0.51,0.0165,10.1016/j.fluid.2019.112283
dhmix_248402847148720275,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.4983999999999999,,CC(C)O,Solvent,0.5016,,,,0.801,0.0195,10.1016/j.jct.2015.01.013
dhmix_249707312821022988,298.15,101.0,Liquid,2,CC#N,Solvent,0.5166999999999999,,CCCCCO,Solvent,0.4833,,,,2.017,0.008,10.1016/j.tca.2006.08.007
dhmix_253000096030148841,298.15,101.0,Liquid,2,O,Solvent,0.5014000000000001,,OCCCCO,Solvent,0.4986,,,,-0.882,0.011,10.1016/j.jct.2005.06.018
dens_253365427284293612,308.15,101.0,Liquid,2,CCOc1ccccc1,Solvent,0.2164,,OCCCc1ccccc1,Solvent,0.7836,,0.9832000000000004,0.00026,,,10.1021/je050085p
dhmix_254951798864336532,298.15,101.0,Liquid,2,CN(C)C=O,Solvent,0.299,,ClCCCl,Solvent,0.7010000000000001,,,,-0.575,0.0035,10.1016/j.jct.2007.06.017
dens_259380669338519231,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.7674,,Cc1ccncc1,Solvent,0.2326,,0.9868740000000004,0.000118,,,10.1016/j.jct.2010.12.028
dens_263343193861280824,298.15,100.0,Liquid,2,CC(C)O,Solvent,0.7649,,CCOC=O,Solvent,0.2351,,0.8088000000000002,0.00035,,,10.1021/je500848q
dens_263405412301382055,298.15,101.0,Liquid,2,CC(C)OC(C)C,Solvent,0.5003,,Cc1ccccc1,Solvent,0.4997,,0.7849200000000002,0.000155,,,10.1016/j.fluid.2008.06.019
dhmix_264252286930443218,303.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.4928,,C1COCCO1,Solvent,0.5072,,,,1.588,0.008,10.1016/j.fluid.2006.03.020
dens_270434956480198030,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.4915,,Cc1ccccc1,Solvent,0.5085,,0.8715100000000002,0.000505,,,10.1021/je5004719
dhmix_270668431990232727,298.15,101.325,Liquid,2,CCCO,Solvent,0.5178,,O=Cc1ccccc1,Solvent,0.4822,,,,1.6361,0.00675,10.1016/j.jct.2011.05.014
dhmix_271994093423113564,303.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.2393999999999999,,C1COCCO1,Solvent,0.7606,,,,1.124,0.007,10.1016/j.fluid.2006.03.020
dhmix_272106299702612005,303.0,101.0,Liquid,2,COC(C)(C)C,Solvent,0.484,,ClC(Cl)Cl,Solvent,0.516,,,,-2.1,0.0845,10.1021/je100821g
dens_272217515598831467,298.15,101.0,Liquid,2,OC1=NCCC1,Solvent,0.4752,,c1ccncc1,Solvent,0.5247999999999999,,1.0431300000000003,0.000515,,,10.1021/je301353z
dens_283260247515622345,308.15,101.325,Liquid,2,CC(C)CO,Solvent,0.2793,,CCCCBr,Solvent,0.7207,,1.1339800000000002,0.000305,,,10.1021/je0501235
dhmix_286328912747955418,298.15,101.0,Liquid,2,BrCCCBr,Solvent,0.5042,,COC(C)=O,Solvent,0.4958,,,,0.3912,0.0038,10.1016/j.jct.2006.05.004
dhmix_286567614765920765,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.212,,ClCCCCCCCl,Solvent,0.788,,,,-0.13,0.002,10.1016/j.jct.2008.01.024
dhmix_289442811935656983,298.15,100.0,Liquid,2,CCCC(=O)OC,Solvent,0.6958,,COC(C)=O,Solvent,0.3042,,,,0.122,0.0015,10.1021/acs.jced.5b00813
dens_290675662473393511,298.15,100.0,Liquid,2,CCCCCl,Solvent,0.7026,,CN1CCCC1=O,Solvent,0.2974,,0.9268000000000002,0.0001,,,10.1021/je7003758
dhmix_292868816925477720,298.15,101.0,Liquid,2,CO,Solvent,0.5005,,OCc1ccccc1,Solvent,0.4995,,,,-0.1408,0.00165,10.1021/je100095p
