FF,Group,Type,n_dataset,n_in_dataset,n_high_error,n_in_high_error,fraction_in_dataset,fraction_in_high_error,ratio_representation
Sage 2.2.1+AM1-BCC,Tertiary Alcohol,Checkmol,199,2,46,2,0.010050251256281407,0.043478260869565216,4.326086956521739
Sage 2.2.1+AM1-BCC,t69,ProperTorsions,199,1,46,1,0.005025125628140704,0.021739130434782608,4.326086956521739
Sage 2.2.1+AM1-BCC,a5,Angles,199,1,46,1,0.005025125628140704,0.021739130434782608,4.326086956521739
Sage 2.2.1+AM1-BCC,"1,2 Diol",Checkmol,199,1,46,1,0.005025125628140704,0.021739130434782608,4.326086956521739
Sage 2.2.1+AM1-BCC,Alkyl Fluoride,Checkmol,199,1,46,1,0.005025125628140704,0.021739130434782608,4.326086956521739
Sage 2.2.1+AM1-BCC,Secondary Alcohol,Checkmol,199,2,46,2,0.010050251256281407,0.043478260869565216,4.326086956521739
Sage 2.2.1+AM1-BCC,t21,ProperTorsions,199,2,46,2,0.010050251256281407,0.043478260869565216,4.326086956521739
Sage 2.2.1 + ELF10,Alkyl Fluoride,Checkmol,199,1,47,1,0.005025125628140704,0.02127659574468085,4.23404255319149
Sage 2.2.1 + ELF10,"1,2 Diol",Checkmol,199,1,47,1,0.005025125628140704,0.02127659574468085,4.23404255319149
Sage 2.2.1 + ELF10,t21,ProperTorsions,199,2,47,2,0.010050251256281407,0.0425531914893617,4.23404255319149
Sage 2.2.1 + ELF10,"1,2 Aminoalcohol",Checkmol,199,3,47,3,0.01507537688442211,0.06382978723404255,4.23404255319149
Sage 2.2.1 + ELF10,Secondary Alcohol,Checkmol,199,2,47,2,0.010050251256281407,0.0425531914893617,4.23404255319149
Sage 2.2.1 + ELF10,a5,Angles,199,1,47,1,0.005025125628140704,0.02127659574468085,4.23404255319149
Sage 2.3.0rc0 + ELF10,Sulfoxide,Checkmol,199,1,49,1,0.005025125628140704,0.02040816326530612,4.061224489795918
Sage 2.3.0rc0 + ELF10,a5,Angles,199,1,49,1,0.005025125628140704,0.02040816326530612,4.061224489795918
Sage 2.3.0rc0 + ELF10,b38,Bonds,199,2,49,2,0.010050251256281407,0.04081632653061224,4.061224489795918
Sage 2.3.0rc0 + ELF10,b35,Bonds,199,2,49,2,0.010050251256281407,0.04081632653061224,4.061224489795918
Sage 2.3.0rc0 + ELF10,t57,ProperTorsions,199,2,49,2,0.010050251256281407,0.04081632653061224,4.061224489795918
Sage 2.3.0rc0 + ELF10,t56,ProperTorsions,199,2,49,2,0.010050251256281407,0.04081632653061224,4.061224489795918
Sage 2.3.0rc0 + ELF10,a33,Angles,199,1,49,1,0.005025125628140704,0.02040816326530612,4.061224489795918
Sage 2.3.0rc0 + ELF10,Secondary Alcohol,Checkmol,199,2,49,2,0.010050251256281407,0.04081632653061224,4.061224489795918
Sage 2.3.0rc0 + ELF10,t21,ProperTorsions,199,2,49,2,0.010050251256281407,0.04081632653061224,4.061224489795918
Sage 2.3.0rc0 + ELF10,"1,2 Diol",Checkmol,199,1,49,1,0.005025125628140704,0.02040816326530612,4.061224489795918
Sage 2.3.0rc0 + ELF10,Alkyl Fluoride,Checkmol,199,1,49,1,0.005025125628140704,0.02040816326530612,4.061224489795918
Sage 2.3.0rc0 + ELF10,t140,ProperTorsions,199,2,49,2,0.010050251256281407,0.04081632653061224,4.061224489795918
Sage 2.3.0rc0 + ELF10,t138,ProperTorsions,199,2,49,2,0.010050251256281407,0.04081632653061224,4.061224489795918
Sage 2.3.0rc0 + ELF10,t122a,ProperTorsions,199,1,49,1,0.005025125628140704,0.02040816326530612,4.061224489795918
Sage 2.3.0rc0 + ELF10,t121a,ProperTorsions,199,1,49,1,0.005025125628140704,0.02040816326530612,4.061224489795918
Sage 2.3.0rc0 + ELF10,t118a,ProperTorsions,199,1,49,1,0.005025125628140704,0.02040816326530612,4.061224489795918
Sage 2.2.1 + AshGC,a5,Angles,199,1,52,1,0.005025125628140704,0.019230769230769232,3.826923076923077
Sage 2.2.1 + AshGC,Thioether,Checkmol,199,2,52,2,0.010050251256281407,0.038461538461538464,3.826923076923077
Sage 2.2.1 + AshGC,"1,2 Diol",Checkmol,199,1,52,1,0.005025125628140704,0.019230769230769232,3.826923076923077
Sage 2.2.1 + AshGC,b35,Bonds,199,2,52,2,0.010050251256281407,0.038461538461538464,3.826923076923077
Sage 2.2.1 + AshGC,a33,Angles,199,1,52,1,0.005025125628140704,0.019230769230769232,3.826923076923077
Sage 2.2.1 + AshGC,a38,Angles,199,1,52,1,0.005025125628140704,0.019230769230769232,3.826923076923077
Sage 2.2.1 + AshGC,Sulfoxide,Checkmol,199,1,52,1,0.005025125628140704,0.019230769230769232,3.826923076923077
Sage 2.2.1 + AshGC,b38,Bonds,199,2,52,2,0.010050251256281407,0.038461538461538464,3.826923076923077
Sage 2.2.1 + AshGC,b51,Bonds,199,1,52,1,0.005025125628140704,0.019230769230769232,3.826923076923077
Sage 2.2.1 + AshGC,t118a,ProperTorsions,199,1,52,1,0.005025125628140704,0.019230769230769232,3.826923076923077
Sage 2.2.1 + AshGC,t121a,ProperTorsions,199,1,52,1,0.005025125628140704,0.019230769230769232,3.826923076923077
Sage 2.2.1 + AshGC,t140,ProperTorsions,199,2,52,2,0.010050251256281407,0.038461538461538464,3.826923076923077
Sage 2.2.1 + AshGC,t138,ProperTorsions,199,2,52,2,0.010050251256281407,0.038461538461538464,3.826923076923077
Sage 2.2.1 + AshGC,Tertiary Alcohol,Checkmol,199,2,52,2,0.010050251256281407,0.038461538461538464,3.826923076923077
Sage 2.2.1 + AshGC,t122a,ProperTorsions,199,1,52,1,0.005025125628140704,0.019230769230769232,3.826923076923077
Sage 2.2.1 + AshGC,t21,ProperTorsions,199,2,52,2,0.010050251256281407,0.038461538461538464,3.826923076923077
Sage 2.2.1 + AshGC,t56,ProperTorsions,199,2,52,2,0.010050251256281407,0.038461538461538464,3.826923076923077
Sage 2.2.1 + AshGC,t57,ProperTorsions,199,2,52,2,0.010050251256281407,0.038461538461538464,3.826923076923077
Sage 2.2.1 + AshGC,Alkyl Fluoride,Checkmol,199,1,52,1,0.005025125628140704,0.019230769230769232,3.826923076923077
Sage 2.2.1 + AshGC,Secondary Alcohol,Checkmol,199,2,52,2,0.010050251256281407,0.038461538461538464,3.826923076923077
Sage 2.3.0rc1 + AshGC,a33,Angles,199,1,54,1,0.005025125628140704,0.018518518518518517,3.685185185185185
Sage 2.3.0rc1 + AshGC,"1,2 Diol",Checkmol,199,1,54,1,0.005025125628140704,0.018518518518518517,3.685185185185185
Sage 2.3.0rc1 + AshGC,a5,Angles,199,1,54,1,0.005025125628140704,0.018518518518518517,3.685185185185185
Sage 2.3.0rc1 + AshGC,Tertiary Alcohol,Checkmol,199,2,54,2,0.010050251256281407,0.037037037037037035,3.685185185185185
Sage 2.3.0rc1 + AshGC,Sulfoxide,Checkmol,199,1,54,1,0.005025125628140704,0.018518518518518517,3.685185185185185
Sage 2.3.0rc1 + AshGC,Secondary Alcohol,Checkmol,199,2,54,2,0.010050251256281407,0.037037037037037035,3.685185185185185
Sage 2.3.0rc1 + AshGC,t118a,ProperTorsions,199,1,54,1,0.005025125628140704,0.018518518518518517,3.685185185185185
Sage 2.3.0rc1 + AshGC,b35,Bonds,199,2,54,2,0.010050251256281407,0.037037037037037035,3.685185185185185
Sage 2.3.0rc1 + AshGC,b38,Bonds,199,2,54,2,0.010050251256281407,0.037037037037037035,3.685185185185185
Sage 2.3.0rc1 + AshGC,Alkyl Fluoride,Checkmol,199,1,54,1,0.005025125628140704,0.018518518518518517,3.685185185185185
Sage 2.3.0rc1 + AshGC,t121a,ProperTorsions,199,1,54,1,0.005025125628140704,0.018518518518518517,3.685185185185185
Sage 2.3.0rc1 + AshGC,t82,ProperTorsions,199,3,54,3,0.01507537688442211,0.05555555555555555,3.685185185185185
Sage 2.3.0rc1 + AshGC,t21,ProperTorsions,199,2,54,2,0.010050251256281407,0.037037037037037035,3.685185185185185
Sage 2.3.0rc1 + AshGC,t25,ProperTorsions,199,1,54,1,0.005025125628140704,0.018518518518518517,3.685185185185185
Sage 2.3.0rc1 + AshGC,t122a,ProperTorsions,199,1,54,1,0.005025125628140704,0.018518518518518517,3.685185185185185
Sage 2.3.0rc1 + AshGC,t138,ProperTorsions,199,2,54,2,0.010050251256281407,0.037037037037037035,3.685185185185185
Sage 2.3.0rc1 + AshGC,t140,ProperTorsions,199,2,54,2,0.010050251256281407,0.037037037037037035,3.685185185185185
Sage 2.3.0rc1 + AshGC,t57,ProperTorsions,199,2,54,2,0.010050251256281407,0.037037037037037035,3.685185185185185
Sage 2.3.0rc1 + AshGC,t56,ProperTorsions,199,2,54,2,0.010050251256281407,0.037037037037037035,3.685185185185185
Sage 2.3.0rc0 + AshGC,a9,Angles,199,2,56,2,0.010050251256281407,0.03571428571428571,3.5535714285714284
Sage 2.3.0rc0 + AshGC,t140,ProperTorsions,199,2,56,2,0.010050251256281407,0.03571428571428571,3.5535714285714284
Sage 2.3.0rc0 + AshGC,t57,ProperTorsions,199,2,56,2,0.010050251256281407,0.03571428571428571,3.5535714285714284
Sage 2.3.0rc0 + AshGC,t56,ProperTorsions,199,2,56,2,0.010050251256281407,0.03571428571428571,3.5535714285714284
Sage 2.3.0rc0 + AshGC,b38,Bonds,199,2,56,2,0.010050251256281407,0.03571428571428571,3.5535714285714284
Sage 2.3.0rc0 + AshGC,b35,Bonds,199,2,56,2,0.010050251256281407,0.03571428571428571,3.5535714285714284
Sage 2.3.0rc0 + AshGC,t138,ProperTorsions,199,2,56,2,0.010050251256281407,0.03571428571428571,3.5535714285714284
Sage 2.3.0rc0 + AshGC,t21,ProperTorsions,199,2,56,2,0.010050251256281407,0.03571428571428571,3.5535714285714284
Sage 2.3.0rc0 + AshGC,a8,Angles,199,2,56,2,0.010050251256281407,0.03571428571428571,3.5535714285714284
Sage 2.3.0rc0 + AshGC,a7,Angles,199,2,56,2,0.010050251256281407,0.03571428571428571,3.5535714285714284
Sage 2.3.0rc0 + AshGC,a5,Angles,199,1,56,1,0.005025125628140704,0.017857142857142856,3.5535714285714284
Sage 2.3.0rc0 + AshGC,Secondary Alcohol,Checkmol,199,2,56,2,0.010050251256281407,0.03571428571428571,3.5535714285714284
Sage 2.3.0rc0 + AshGC,"1,2 Diol",Checkmol,199,1,56,1,0.005025125628140704,0.017857142857142856,3.5535714285714284
Sage 2.3.0rc0 + AshGC,Alkyl Fluoride,Checkmol,199,1,56,1,0.005025125628140704,0.017857142857142856,3.5535714285714284
Sage 2.2.1+AM1-BCC,t96,ProperTorsions,199,23,46,18,0.11557788944723618,0.391304347826087,3.385633270321361
Sage 2.2.1+AM1-BCC,Dialkylether,Checkmol,199,23,46,18,0.11557788944723618,0.391304347826087,3.385633270321361
Sage 2.2.1+AM1-BCC,t48,ProperTorsions,199,34,46,26,0.1708542713567839,0.5652173913043478,3.3081841432225065
Sage 2.2.1+AM1-BCC,t73,ProperTorsions,199,34,46,26,0.1708542713567839,0.5652173913043478,3.3081841432225065
Sage 2.2.1+AM1-BCC,Oxohetarene,Checkmol,199,34,46,26,0.1708542713567839,0.5652173913043478,3.3081841432225065
Sage 2.2.1 + ELF10,t94,ProperTorsions,199,9,47,7,0.04522613065326633,0.14893617021276595,3.2931442080378246
Sage 2.2.1+AM1-BCC,Diarylether,Checkmol,199,32,46,23,0.16080402010050251,0.5,3.109375
Sage 2.2.1+AM1-BCC,Aryl Fluoride,Checkmol,199,37,46,26,0.18592964824120603,0.5652173913043478,3.039952996474735
Sage 2.2.1+AM1-BCC,b68,Bonds,199,37,46,26,0.18592964824120603,0.5652173913043478,3.039952996474735
Sage 2.2.1 + ELF10,t48,ProperTorsions,199,34,47,24,0.1708542713567839,0.5106382978723404,2.9887359198998746
Sage 2.2.1 + ELF10,t73,ProperTorsions,199,34,47,24,0.1708542713567839,0.5106382978723404,2.9887359198998746
Sage 2.2.1 + ELF10,Oxohetarene,Checkmol,199,34,47,24,0.1708542713567839,0.5106382978723404,2.9887359198998746
Sage 2.2.1 + AshGC,t48,ProperTorsions,199,34,52,26,0.1708542713567839,0.5,2.9264705882352944
Sage 2.3.0rc1 + AshGC,t73,ProperTorsions,199,34,54,27,0.1708542713567839,0.5,2.9264705882352944
Sage 2.2.1 + AshGC,t73,ProperTorsions,199,34,52,26,0.1708542713567839,0.5,2.9264705882352944
Sage 2.3.0rc1 + AshGC,Oxohetarene,Checkmol,199,34,54,27,0.1708542713567839,0.5,2.9264705882352944
Sage 2.2.1 + AshGC,Oxohetarene,Checkmol,199,34,52,26,0.1708542713567839,0.5,2.9264705882352944
Sage 2.3.0rc1 + AshGC,t48,ProperTorsions,199,34,54,27,0.1708542713567839,0.5,2.9264705882352944
Sage 2.2.1+AM1-BCC,t94,ProperTorsions,199,9,46,6,0.04522613065326633,0.13043478260869565,2.8840579710144927
Sage 2.2.1+AM1-BCC,"1,2 Aminoalcohol",Checkmol,199,3,46,2,0.01507537688442211,0.043478260869565216,2.8840579710144927
Sage 2.3.0rc0 + ELF10,t73,ProperTorsions,199,34,49,24,0.1708542713567839,0.4897959183673469,2.866746698679472
